outcome,label,short,year,n,events,pct,logit,var_logit,se_logit,w_re
covid,COVID-19 prevalence,COVID-19,1996,13,0,0.0,-3.21888,2.08,1.44222,0.3464
covid,COVID-19 prevalence,COVID-19,1997,14,0,0.0,-3.29584,2.074074,1.44016,0.34711
covid,COVID-19 prevalence,COVID-19,1998,15,0,0.0,-3.3673,2.068966,1.43839,0.34772
covid,COVID-19 prevalence,COVID-19,1999,20,0,0.0,-3.66356,2.051282,1.43223,0.34988
covid,COVID-19 prevalence,COVID-19,2000,30,0,0.0,-4.07754,2.033898,1.42615,0.35202
covid,COVID-19 prevalence,COVID-19,2001,35,0,0.0,-4.23411,2.028986,1.42442,0.35263
covid,COVID-19 prevalence,COVID-19,2002,112,0,0.0,-5.40717,2.008969,1.41738,0.35513
covid,COVID-19 prevalence,COVID-19,2003,63,0,0.0,-4.82831,2.016,1.41986,0.35425
covid,COVID-19 prevalence,COVID-19,2004,108,0,0.0,-5.37064,2.009302,1.4175,0.35509
covid,COVID-19 prevalence,COVID-19,2005,109,0,0.0,-5.3799,2.009217,1.41747,0.3551
covid,COVID-19 prevalence,COVID-19,2006,167,0,0.0,-5.80814,2.006006,1.41634,0.35551
covid,COVID-19 prevalence,COVID-19,2007,174,0,0.0,-5.84932,2.005764,1.41625,0.35554
covid,COVID-19 prevalence,COVID-19,2008,194,0,0.0,-5.95842,2.005168,1.41604,0.35561
covid,COVID-19 prevalence,COVID-19,2009,277,0,0.0,-6.31536,2.003617,1.41549,0.35581
covid,COVID-19 prevalence,COVID-19,2010,273,0,0.0,-6.30079,2.00367,1.41551,0.3558
covid,COVID-19 prevalence,COVID-19,2011,286,0,0.0,-6.34739,2.003503,1.41545,0.35582
covid,COVID-19 prevalence,COVID-19,2012,321,0,0.0,-6.46303,2.00312,1.41532,0.35587
covid,COVID-19 prevalence,COVID-19,2013,418,0,0.0,-6.72743,2.002395,1.41506,0.35596
covid,COVID-19 prevalence,COVID-19,2014,448,0,0.0,-6.79682,2.002235,1.415,0.35598
covid,COVID-19 prevalence,COVID-19,2015,485,0,0.0,-6.87626,2.002064,1.41494,0.35601
covid,COVID-19 prevalence,COVID-19,2016,450,0,0.0,-6.80128,2.002225,1.415,0.35599
covid,COVID-19 prevalence,COVID-19,2017,493,0,0.0,-6.89264,2.00203,1.41493,0.35601
